"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"Subcategory","hs_subcategory","enumeration","Specifies the type / subcategory of the email (ab_master, ab_variant, blog_email etc.).","marketingemailinformation","false","AB Loser Variant (ab_loser_variant); AB Master (ab_master); AB Variant (ab_variant); Automated (automated); Automated AB Master (automated_ab_master); Automated AB Variant (automated_ab_variant); Automated For Custom Survey (automated_for_custom_survey); Automated for Deal (automated_for_deal); Automated for Feedback CES (automated_for_feedback_ces); Automated for Feedback Custom (automated_for_feedback_custom); Automated for Feedback NPS (automated_for_feedback_nps); Automated for Form (automated_for_form); Automated for Form Buffer (automated_for_form_buffer); Automated for Form Draft (automated_for_form_draft); Automated for Form Legacy (automated_for_form_legacy); Automated for Leadflow (automated_for_leadflow); Automated for Ticket (automated_for_ticket); Batch (batch); Blog Email (blog_email); Blog Email Child (blog_email_child); Localtime (localtime); Marketing Single Send API (marketing_single_send_api); Membership Password Reset Email (membership_password_reset); Membership Password Saved Email (membership_password_saved); Membership Registration Email (membership_registration); Optin Email (optin_email); Optin Followup Email (optin_followup_email); RSS to Email (rss_to_email); RSS to Email Child (rss_to_email_child); Resubscribe Confirmation Email (resubscribe_confirmation_email); Resubscribe Email (resubscribe_email); SMTP Token (smtp_token); Single Send API (single_send_api); Ticket Closed Kickback Email (ticket_closed_kickback_email); Ticket Opened Kickback Email (ticket_opened_kickback_email); Unsubscribe Confirmation Email (unsubscribe_confirmation_email); Membership Passwordless Auth Email (membership_passwordless_auth); Membership Follow Up Registration Email (membership_follow_up); Membership Email Verification Email (membership_verification); Manage Preferences Email (manage_preferences_email); Ticket Automated Email (ticket_pipeline_automated)","true","true","false","false","false","true","HubSpot","Sales view (11)","100%","",""
"Subject line","hs_subject","string","This provides the email's subject line copy.","marketingemailinformation","false","","true","false","false","false","false","true","HubSpot","Dataset (1); Sales view (2)","98.11%","",""
"Subscription","hs_subscription","number","The subscription associated with the email.","marketingemailinformation","false","","true","false","false","false","false","true","HubSpot","","96.86%","",""
"Transactional email","hs_transactional_email","enumeration","Indicates whether the email is transactional or not.","marketingemailinformation","false","Yes (true); No (false)","true","false","false","false","false","true","HubSpot","","100%","",""
"Email type","hs_type","enumeration","Specifies the type of the email.","marketingemailinformation","false","Regular (BATCH_EMAIL); Automated (AUTOMATED_EMAIL); Time zone (LOCALTIME_EMAIL); Regular A/B (AB_EMAIL); Automated A/B (AUTOMATED_AB_EMAIL); Blog (BLOG_EMAIL); Blog child (BLOG_EMAIL_CHILD); RSS (RSS_EMAIL); RSS child (RSS_EMAIL_CHILD); Follow-up (FOLLOWUP_EMAIL); Single send API (SINGLE_SEND_API); Marketing single send API (MARKETING_SINGLE_SEND_API); Feedback CES (FEEDBACK_CES_EMAIL) [HIDDEN]; Feedback custom (FEEDBACK_CUSTOM_EMAIL) [HIDDEN]; Feedback custom survey (FEEDBACK_CUSTOM_SURVEY_EMAIL) [HIDDEN]; Feedback NPS (FEEDBACK_NPS_EMAIL) [HIDDEN]; Leadflow (LEADFLOW_EMAIL) [HIDDEN]; Optin (OPTIN_EMAIL) [HIDDEN]; Optin followup (OPTIN_FOLLOWUP_EMAIL) [HIDDEN]; Resubscribe (RESUBSCRIBE_EMAIL) [HIDDEN]; SMTP token (SMTP_TOKEN); Ticket (TICKET_EMAIL) [HIDDEN]; Membership password reset (MEMBERSHIP_PASSWORD_RESET_EMAIL) [HIDDEN]; Membership password saved (MEMBERSHIP_PASSWORD_SAVED_EMAIL) [HIDDEN]; Membership registration (MEMBERSHIP_REGISTRATION_EMAIL) [HIDDEN]; Membership registration follow up (MEMBERSHIP_FOLLOW_UP_EMAIL) [HIDDEN]; Membership email verification (MEMBERSHIP_VERIFICATION_EMAIL) [HIDDEN]; Membership passwordless auth (MEMBERSHIP_PASSWORDLESS_AUTH_EMAIL) [HIDDEN]; Manage Preferences (MANAGE_PREFERENCES_EMAIL) [HIDDEN]","true","true","false","false","false","true","HubSpot","Sales view (6)","100%","",""
"Last updated at","hs_updated_at","datetime","The date and time which the email was last updated.","marketingemailinformation","false","","true","true","false","false","false","true","HubSpot","Sales view (6)","100%","",""
"Updated by user ID","hs_updated_by_user_id","number","The user who last updated this record. This value is set automatically by HubSpot.","marketingemailinformation","false","","true","true","false","true","false","true","HubSpot","Sales view (5)","100%","",""
"Owner assigned date","hubspot_owner_assigneddate","datetime","The most recent timestamp of when an owner was assigned to this record. This value is set automatically by HubSpot.","marketingemailinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Owner","hubspot_owner_id","enumeration","The owner of the object.","marketingemailinformation","false","","false","true","false","true","false","true","HubSpot","","0%","",""
"Talking Points","talking_points","enumeration","","marketingemailinformation","true","America Prays 250; NRB 2026; PRAY Science (Pray Science)","false","false","false","false","false","false","Nay Luchetti","","0%","",""
