"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"Company Next Activity Type","hs_company_next_activity_type","enumeration","The type of the next activity, rolled up from the primary associated company.","lead_information","false","Call (CALL); Conversation session (CONVERSATION_SESSION); Email reply from contact (INCOMING_EMAIL); Email sent to contact (EMAIL); Forwarded email (FORWARDED_EMAIL); LinkedIn message (LINKEDIN_MESSAGE); Meeting (MEETING); Note (NOTE); Postal mail (POSTAL_MAIL); Publishing task (PUBLISHING_TASK); SMS; Task (TASK); WhatsApp (WHATS_APP)","true","true","true","false","false","true","HubSpot","","2.07%","",""
"Company Number of Pageviews","hs_company_num_webpage_views","number","Total number of page views across all contacts associated with this lead's primary company","lead_information","false","","true","true","true","false","false","true","HubSpot","","84.81%","",""
"Associated company timezone","hs_company_timezone","string","The associated company's timezone, if present.","lead_information","false","","true","true","false","false","false","true","HubSpot","","54.53%","",""
"Contact Buying Role","hs_contact_buying_role","string","Associated contact's role during the sales process.","lead_information","false","","true","true","true","false","false","true","HubSpot","","0.43%","",""
"Associated contact job title","hs_contact_job_title","string","Job title of the associated contact if present.","lead_information","false","","true","false","false","false","false","true","HubSpot","Properties v3 card (1)","24.94%","",""
"Contact Last Engagement Date","hs_contact_last_engagement_timestamp","datetime","The last time a contact engaged with your site or a form, document, meetings link, or tracked email. This doesn't include marketing emails or emails to multiple contacts.","lead_information","false","","true","true","true","false","false","true","HubSpot","Sales view (10)","28.73%","",""
"Contact Last Engagement Type","hs_contact_last_engagement_type","enumeration","The type of the last engagement a contact performed. This doesn't include marketing emails or emails to multiple contacts.","lead_information","false","Company Website Visit (COMPANYPROSPECTS_REVISIT); Document View (PRESENTATION_REVISIT); Email Click (EMAIL_CLICK); Email Open (EMAIL_OPEN); Email Reply (EMAIL_REPLY); Form Submitted (FORM_SUBMITTED); Meeting Booked (MEETING_BOOKED); Website Visit (HUBSPOT_REVISIT)","true","true","true","false","false","true","HubSpot","","28.56%","",""
"Contact Time of Last Session","hs_contact_last_webpage_visit_timestamp","datetime","Timestamp for start of the most recent session for this lead's primary contact to your website.","lead_information","false","","true","true","true","false","false","true","HubSpot","","38.65%","",""
"Contact Next Activity Date","hs_contact_next_activity_date","datetime","The date of the next activity, rolled up from the primary associated contact.","lead_information","false","","true","true","false","false","false","true","HubSpot","Pipeline object tag (1)","1.04%","",""
"Contact Next Activity Type","hs_contact_next_activity_type","enumeration","The type of the next activity, rolled up from the primary associated contact.","lead_information","false","Call (CALL); Conversation session (CONVERSATION_SESSION); Email reply from contact (INCOMING_EMAIL); Email sent to contact (EMAIL); Forwarded email (FORWARDED_EMAIL); LinkedIn message (LINKEDIN_MESSAGE); Meeting (MEETING); Note (NOTE); Postal mail (POSTAL_MAIL); Publishing task (PUBLISHING_TASK); SMS; Task (TASK); WhatsApp (WHATS_APP)","true","true","true","false","false","true","HubSpot","","1.04%","",""
"Contact Number of Pageviews","hs_contact_num_webpage_views","number","Total number of page views this lead's primary contact has had on your website","lead_information","false","","true","true","true","false","false","true","HubSpot","","46.42%","",""
"Associated contact timezone","hs_contact_timezone","string","The associated contact's timezone, if present.","lead_information","false","","true","true","false","false","false","true","HubSpot","","33.48%","",""
